사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2022-08,1호선,0150,서울역,"1,167,657","1,130,901","180,626","172,177",2022-09-03 10:18:23
2022-08,1호선,0151,시청,"544,893","557,176","89,898","88,059",2022-09-03 10:18:23
2022-08,1호선,0152,종각,"854,020","836,751","133,088","123,352",2022-09-03 10:18:23
2022-08,1호선,0153,종로3가,"431,220","393,760","277,589","261,412",2022-09-03 10:18:23
2022-08,1호선,0154,종로5가,"378,532","385,585","238,475","229,206",2022-09-03 10:18:23
2022-08,1호선,0155,동대문,"201,515","185,040","108,071","107,241",2022-09-03 10:18:23
2022-08,1호선,0156,신설동,"253,890","248,567","109,470","105,967",2022-09-03 10:18:23
2022-08,1호선,0157,제기동,"216,929","208,260","262,097","282,283",2022-09-03 10:18:23
2022-08,1호선,0158,청량리(서울시립대입구),"314,838","313,155","246,473","249,786",2022-09-03 10:18:23
2022-08,1호선,0159,동묘앞,"116,233","122,982","133,024","134,234",2022-09-03 10:18:23
2022-08,2호선,0201,시청,"568,964","547,537","51,980","47,237",2022-09-03 10:18:23
2022-08,2호선,0202,을지로입구,"1,030,364","1,059,452","91,971","85,574",2022-09-03 10:18:23
2022-08,2호선,0203,을지로3가,"549,222","552,950","69,428","68,506",2022-09-03 10:18:23
2022-08,2호선,0204,을지로4가,"274,453","273,859","76,540","75,664",2022-09-03 10:18:23
2022-08,2호선,0205,동대문역사문화공원(DDP),"305,609","350,861","49,750","53,356",2022-09-03 10:18:23
2022-08,2호선,0206,신당,"297,546","310,218","89,640","90,980",2022-09-03 10:18:23
2022-08,2호선,0207,상왕십리,"324,983","311,549","61,989","62,985",2022-09-03 10:18:23
2022-08,2호선,0208,왕십리(성동구청),"396,095","337,792","49,435","41,768",2022-09-03 10:18:23
2022-08,2호선,0209,한양대,"177,378","188,876","11,994","12,537",2022-09-03 10:18:23
2022-08,2호선,0210,뚝섬,"549,358","591,134","54,513","54,949",2022-09-03 10:18:23
2022-08,2호선,0211,성수,"908,062","1,003,386","94,941","96,764",2022-09-03 10:18:23
2022-08,2호선,0212,건대입구,"917,362","1,002,640","82,177","85,895",2022-09-03 10:18:23
2022-08,2호선,0213,구의(광진구청),"544,994","531,369","94,384","95,629",2022-09-03 10:18:23
2022-08,2호선,0214,강변(동서울터미널),"822,285","791,061","109,398","106,931",2022-09-03 10:18:23
2022-08,2호선,0215,잠실나루,"304,357","296,581","78,068","78,510",2022-09-03 10:18:23
2022-08,2호선,0216,잠실(송파구청),"1,935,140","1,906,432","183,233","174,997",2022-09-03 10:18:23
2022-08,2호선,0217,잠실새내,"505,576","513,919","99,858","99,769",2022-09-03 10:18:23
2022-08,2호선,0218,종합운동장,"294,962","346,840","40,759","42,704",2022-09-03 10:18:23
2022-08,2호선,0219,삼성(무역센터),"1,360,753","1,373,810","111,605","103,224",2022-09-03 10:18:23
2022-08,2호선,0220,선릉,"1,260,307","1,115,384","200,970","178,120",2022-09-03 10:18:23
2022-08,2호선,0221,역삼,"1,195,135","1,351,657","138,646","140,670",2022-09-03 10:18:23
2022-08,2호선,0222,강남,"2,073,808","2,018,576","146,482","127,762",2022-09-03 10:18:23
2022-08,2호선,0223,교대(법원.검찰청),"735,149","828,336","135,913","151,600",2022-09-03 10:18:23
2022-08,2호선,0224,서초,"509,953","480,268","71,789","71,340",2022-09-03 10:18:23
2022-08,2호선,0225,방배,"357,821","373,045","65,944","65,062",2022-09-03 10:18:23
2022-08,2호선,0226,사당,"886,386","984,637","171,125","165,262",2022-09-03 10:18:23
2022-08,2호선,0227,낙성대(강감찬),"664,500","635,789","98,612","100,000",2022-09-03 10:18:23
2022-08,2호선,0228,서울대입구(관악구청),"1,115,685","1,100,833","169,068","160,445",2022-09-03 10:18:23
2022-08,2호선,0229,봉천,"521,866","476,704","140,199","139,984",2022-09-03 10:18:23
2022-08,2호선,0230,신림,"1,428,420","1,365,194","193,960","193,975",2022-09-03 10:18:23
2022-08,2호선,0231,신대방,"586,707","562,845","112,648","115,036",2022-09-03 10:18:23
2022-08,2호선,0232,구로디지털단지,"1,395,053","1,391,260","161,275","162,548",2022-09-03 10:18:23
2022-08,2호선,0233,대림(구로구청),"551,200","562,588","112,853","116,815",2022-09-03 10:18:23
2022-08,2호선,0234,신도림,"1,136,888","1,142,161","189,803","179,047",2022-09-03 10:18:23
2022-08,2호선,0235,문래,"493,115","512,903","84,859","84,162",2022-09-03 10:18:23
2022-08,2호선,0236,영등포구청,"476,672","499,272","91,060","90,899",2022-09-03 10:18:23
2022-08,2호선,0237,당산,"427,405","499,833","52,316","57,605",2022-09-03 10:18:23
2022-08,2호선,0238,합정,"841,083","921,865","62,256","62,839",2022-09-03 10:18:23
2022-08,2호선,0239,홍대입구,"1,717,050","1,851,268","90,063","86,905",2022-09-03 10:18:23
2022-08,2호선,0240,신촌,"881,897","901,085","113,290","111,245",2022-09-03 10:18:23
2022-08,2호선,0241,이대,"326,360","347,144","44,692","46,689",2022-09-03 10:18:23
2022-08,2호선,0242,아현,"225,218","210,016","60,937","60,449",2022-09-03 10:18:23
2022-08,2호선,0243,충정로(경기대입구),"215,560","231,915","45,479","45,195",2022-09-03 10:18:23
2022-08,2호선,0244,용답,"60,953","57,959","16,458","15,984",2022-09-03 10:18:23
2022-08,2호선,0245,신답,"36,376","40,477","9,011","9,763",2022-09-03 10:18:23
2022-08,2호선,0246,신설동,"69,533","64,856","30,021","30,892",2022-09-03 10:18:23
2022-08,2호선,0247,도림천,"28,674","29,285","7,699","8,446",2022-09-03 10:18:23
